State,State Code,Median Family Income,Median Single Income,Yearly 4 Bedroom Rent,Yearly Studio Rent,Yearly Childcare,Child Tax Credit,Yearly Grocery,Yearly Water,Yearly Electricity,Yearly Internet,Yearly Mobile Plan Tax Rate,Yearly Cost for 1 Car,Yearly Healthcare,Total Cost for Family of 4,Leftover Income for Family of Four,Total Cost for Single Person,Leftover Income for Single Person,Difference in Cost of Family vs Being Single,Leftover Income for Family vs Single Person,Percent Income Used On Essentials Family,Percent Income Used On Essentials Single,Average Percent Income Used On Essentials,Average Income Leftover
Alabama,AL,69821.0,46718.0,18000.0,9360.0,7280.0,6600.0,4768.68,360.0,186.48,13.5168,13.5168,24190.0,9280.0,25960.0,43861.0,14488.68,32229.32,11471.32,11631.68,37.2,31.0,34.1,38045.16
Alaska,AK,98667.0,65026.0,29724.0,12120.0,10746.0,6600.0,5798.88,816.0,306.24,13.755600000000001,13.755600000000001,23518.0,13642.0,44616.0,54051.0,18734.88,46291.12,25881.12,7759.879999999997,45.2,28.8,37.0,50171.06
Arizona,AZ,80129.0,52111.0,27096.0,12600.0,8719.0,6600.0,3633.6000000000004,768.0,180.24,13.524000000000001,13.524000000000001,26201.0,8756.0,37934.0,42195.0,17001.6,35109.4,20932.4,7085.5999999999985,47.3,32.6,40.0,38652.2
Arkansas,AR,66898.0,43711.0,18228.0,8952.0,6575.0,6600.0,3389.5199999999995,312.0,142.56,14.575199999999999,14.575199999999999,26379.0,9338.0,24778.0,42120.0,12653.52,31057.48,12124.48,11062.52,37.0,28.9,33.0,36588.74
California,CA,86351.0,55179.0,40200.0,18900.0,12168.0,6600.0,4451.5199999999995,924.0,362.64,13.582799999999999,13.582799999999999,28504.0,10299.0,57936.0,28415.0,24275.52,30903.48,33660.479999999996,-2488.4799999999996,67.1,44.0,55.5,29659.24
Colorado,CO,96108.0,58298.0,30876.0,14160.0,11911.0,6600.0,3923.04,468.0,185.64000000000001,13.581599999999998,13.581599999999998,25239.0,8583.0,48098.0,48010.0,18551.04,39746.96,29546.96,8263.04,50.0,31.8,40.9,43878.48
Connecticut,CT,100249.0,58328.0,32964.0,14976.0,13052.0,6600.0,4119.6,828.0,359.52,13.023599999999998,13.023599999999998,26428.0,12489.0,52468.0,47781.0,19923.6,38404.4,32544.4,9376.599999999999,52.3,34.2,43.2,43092.7
Delaware,DE,89576.0,56705.0,26448.0,13284.0,9579.0,6600.0,4564.68,552.0,215.16,13.0368,13.0368,23504.0,12899.0,39006.0,50570.0,18400.68,38304.32,20605.32,12265.68,43.5,32.4,38.0,44437.16
Florida,FL,80380.0,51534.0,28080.0,13644.0,7186.0,6600.0,4371.0,396.0,170.39999999999998,13.8108,13.8108,27235.0,9856.0,35852.0,44528.0,18411.0,33123.0,17441.0,11405.0,44.6,35.7,40.2,38825.5
Georgia,GA,80290.0,48069.0,20544.0,10620.0,7630.0,6600.0,4775.64,336.0,168.0,13.5504,13.5504,26691.0,8758.0,29204.0,51086.0,15731.64,32337.36,13472.36,18748.64,36.4,32.7,34.6,41711.68
